------------------------------------------------------------
 Current - Vd = 0.05 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,       2.56709781e-14
       -0.0266666667,       5.98067621e-14
        0.0466666667,       1.38394697e-13
                0.12,       3.25035115e-13
         0.193333333,       7.72287923e-13
         0.266666667,       1.83852035e-12
                0.34,       4.44378529e-12
         0.413333333,       1.07667819e-11
         0.486666667,       2.61637222e-11
                0.56,       6.36781877e-11
         0.633333333,       1.55088218e-10
         0.706666667,       3.77802436e-10
                0.78,        9.2010104e-10
         0.853333333,       2.23906613e-09
         0.926666667,       5.44064403e-09
                   1,       1.31867886e-08

------------------------------------------------------------
 Current - Vd = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
               -0.05,        1.0043937e-12
                -0.1,       5.64884402e-13
       -0.0266666667,       1.28925004e-12
        0.0466666667,       2.98092919e-12
                0.12,       6.91996145e-12
         0.193333333,       1.62089212e-11
         0.266666667,       3.79456955e-11
                0.34,       8.90470181e-11
         0.413333333,       2.09219524e-10
         0.486666667,       4.91553734e-10
                0.56,       1.15431108e-09
         0.633333333,       2.70757498e-09
         0.706666667,       6.33841929e-09
                0.78,       1.47927223e-08
         0.853333333,       3.43627699e-08
         0.926666667,       7.92557951e-08
                   1,       1.80780156e-07

